
Country Name En,Continent Name En,FAO major fishing area Name En,Ocean Name En,Unit Name,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Australia,Oceania,"Pacific, Western Central",Pacific Ocean,Tonnes - live weight,,,0.224,,0.393,,0.063,,0.18,,0.245,,0.18,,0.3,,0.46,,0,N,0,N,0,N,0,N,0,N,1,,1,,1,,1,,2,,1,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,Americas,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Europe,"Atlantic, Northeast",Atlantic Ocean and adjacent seas,Tonnes - live weight,125,,167.8,,173,,172,,101,,64,,54,,46,,111,,128,,93,,69,,45,,31,,48,,35,,21,,50,,51,,70,,29,,44,,41,,49,,45,,28,,62,,40,,37,,44,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Americas,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,253,,,,65,,0,,0,,57,,3247,,785,,185,,0,,86,,0,N,17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Americas,"Atlantic, Western Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,1,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Brazil,Americas,"Atlantic, Southwest",Atlantic Ocean and adjacent seas,Tonnes - live weight,1700,E,1700,E,1700,E,1700,E,1700,E,1700,E,1700,E,1885,,1869,,2070,,1883,,2069,,2192,,1987,,2195,,2104,,1783,,1518,,1028,,914,,1193,,1032,,906,,554,,640,,459,,577,,630,E,630,E,630,E,644,E,630,E,637,E,621,E,710,,571,,666,,742,,151,,318,,256,,177,,283,,233,,247,,83,,189,,155,,200,,100,,100,,200,,100,,300,,200,,100,,100,,100,,0,N,0,N,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,
Bulgaria,Europe,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,42,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Africa,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,8.201,,4.604,,10,,10,,1,,1,,1,,4,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Americas,"Pacific, Northeast",Pacific Ocean,Tonnes - live weight,32,,0,,,,,,25,,26,,51,,36,,41,,46,,39,,44,,32,,19,,27,,36,,48,,75,,122,,125,,61,,56,,54,,139,,208,,197,,108,,89,,145,,117,,131,,197,,217,,209,,130,,53,,34,,25,,37,,18,,29,,51,,35,,22,,24,,21,,27,,34,,0,N,0,N,0,N,0,N,100,,0,N,0,N,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Americas,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
