
Italy,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,3601.273,,3061.99,,3812.8,,3480,,2393,,2256,,2461,,2387,,2787,,3010,,4023,,3336,,3454,,3018,,3895,,4117,,3897,,5473,,6615,,7373,,8648,,7800,,6999,,9478,,8907,,9057,,9757,,9661,,11565,,10300,,10508,,10163,,9145,,10354,,10184,,10996,,9419,,9140,,9329,,8925,,9033,,8868,,8313,,8974,,8718,,9390,,9202,,8289,,8148,,9439,,7864,,8122,,8100,,8400,,8500,,10100,,8000,,7900,,4700,,4900,,6300,,6400,,7400,,8300,,5600,,5400,,5600,,4800,,3700,,3700,,3600,,3600,
Lebanon,Asia,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,0,,0,,0,,2,,4,,3,,6,,17,,18,E,19,E,20,E,21,E,22,E,23,E,24,E,24,,25,,25,,25,,25,,25,,25,,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,Africa,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,68.719,,47,,,,,,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Africa,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,23.842,,19.979,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Americas,"Atlantic, Western Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,14769.17,,13679.406,,14339,,12517,,14237,,11176,,12826,,18332,,14369,,16919,,16281,,15325,,16636,,8959,,11802,,16372,,6753,,24447,,16103,,16018,,20596,,22463,,19081,,16478,,17776,,28572,,18958,,16817,,15790,,16296,,15341,,15385,,12115,,7574,,8136,,9337,,6374,,5769,,8553,,6364,,6868,,6444,,6558,,2344,,6162,,4487,,3529,,3281,,1900,,3700,,2200,,1500,,2200,,1900,,1600,,1100,,800,,300,,700,,500,,500,,400,,200,,500,,,,,,,,,,,,,,,,,
Montenegro,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,8,,9.71,,14,,12,,9,,14,,14,,15,,12,,15,,13,,16,,15,,23,,19,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Europe,"Atlantic, Northeast",Atlantic Ocean and adjacent seas,Tonnes - live weight,6585.46,,4756.2,,5256,,6074,,5776,,9663,,7543,,10945,,11513,,9271,,7199,,10454,,6720,,9160,,5283,,3953,,3487,,692,,1310,,659,,823,,624,,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Africa,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,6602.548,,8236,,4547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,,7,,10,,11,,12,,10,,9,,9,,8,,8,,4,,4,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,0.018,,0.01,,0,,0,N,0,N,0,,0,,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,37,,24,,32,,25,,53,,18,,8,,12,,7,,2,,34,,6,,25,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Europe,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,356.22,,175.73,,646.6,,126,,765,,561,,796,,392,,337,,3536,,5317,,4759,,6752,,5792,,5134,,9948,,9894,,8393,,12640,,8483,,14913,,11626,,21692,,38235,,22545,,26874,,31000,E,32000,E,33000,E,34432,,42162,,25741,,24992,,22558,,32214,,36185,,40343,,42996,,76830,,42600,,68452,,45251,,40447,,53719,,51480,,71653,,92621,,85267,,66500,,87266,,20000,E,20000,,29300,,41700,,8100,,4600,,4000,,2100,,1900,,1000,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Europe,"Atlantic, Northeast",Atlantic Ocean and adjacent seas,Tonnes - live weight,2644.976,,2146.6,,4829.24,,342,,2766,,4750,,3277,,3522,,5894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,1835.27,,1900.61,,2809.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Africa,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,2060,E,2000,E,2105,E,3403,,2857,,1830,,3281,,3551,,2965,,3680,,2987,,3064,,1819,,1280,,2297,,2542,,3901,,4638,,2710,,2535,,1752,,2103,,2349,,3129,,5681,,3460,,1868,,1841,,3350,,7544,,6337,,6417,,9135,,12295,,8325,E,5427,E,5192,,4851,,3328,,2222,,2819,,4022,,3254,,3675,,3312,,2201,,2144,,700,,900,,252,,203,,105,,1400,,1400,,500,,500,,1000,,1200,,1000,,1000,,1200,,800,,500,,500,,500,,100,,100,,100,,0,N,0,N,0,N,0,N
Türkiye,Asia,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,243.2,,310.7,,293,,224,,163,,246,,215,,254,,284,,361,,322,,509,,649,,681,,664,,1114,,876,,1185,,750,,1502,,1400,,680,,510,,1450,,1000,,802,,602,,659,,472,,579,,336,,482,,2133,,1732,,460,,274,,252,,229,,137,,60,,123,,54,,25,,17,,27,,27,,10,,10,,0,N,0,N,9,,87,,100,,200,,100,,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Europe,"Atlantic, Northeast",Atlantic Ocean and adjacent seas,Tonnes - live weight,27.743,,41.17,,77.587,,40.888,,19.072,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Americas,"Atlantic, Western Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,1,,0,N,0,N,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia SFR,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,121,E,211,,180,,179,,159,,154,,150,,100,,113,,114,,106,,107,,122,,132,,133,,107,,85,,98,,99,,132,,218,,253,,100,,100,,200,,100,,100,,0,N,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,
